Address,Coordinates
Ijede,"(6.5708251,3.596457)"
"28b Campus Road, Lagos Island","(6.452315,3.395367)"
"2B Williams Street, Sawmill, Gbagada","(6.5527808,3.3920273)"
"Ishaga Road, Surulere","(6.5140818,3.3569492)"
"Harmony Estate, Off Karaole Estate, Iju Road, Agege","(6.6443482,3.3293495)"
"Tinubu Square, Lagos Island","(6.453872899999999,3.389379)"
"Olugbende Street, Off Idimu Street","(6.5803942,3.2851711)"
"Airport Road, Ikeja","(6.5866674,3.3335543)"
"Dolphin Estate, Ikoyi","(6.455966999999999,3.4110393)"
Ipaja,"(6.613069899999999,3.2659066)"
"Onobola Street, Bariga","(6.5391037,3.3849441)"
"10 Lawal Street, Jibowu","(6.523422399999999,3.3706525)"
Appa,"(6.45528,3.3640841)"
Ojokoro,"(6.6753996,3.3040193)"
"1 Adeola Street, Afromedia, Ajangbadi","(6.5581669,3.2804526)"
Ijesatedo,"(6.4941029,3.3275593)"
Victoria Island,"(6.4280556,3.4219444)"
Ojodu,"(6.637690699999999,3.3558525)"
"17 Coker Street, Ifako-Ijaiye","(6.639473,3.3297379)"
"Ojo Road, Mile 2, Ajegunle","(6.4625007,3.3235351)"
Ikeja,"(6.601838,3.3514863)"
Apapa,"(6.45528,3.3640841)"
"3/4 Bamimosu Street, Ebute, Ikorodu","(6.603073299999999,3.494661)"
"Hawley Street, Lagos","(6.4511316,3.4033001)"
Lagos Airport Road,"(6.5677657,3.3302969)"
Badagry,"(6.4182673,2.8901388)"
"Oba Adetona Street, Ilupeju","(6.5477278,3.3609041)"
"Ajose Adeogun Street, Victoria Island","(6.4309745,3.4357169)"
"Myhoung Barracks, Yaba","(6.505999999999999,3.363849)"
Ikorodu,"(6.6194131,3.5104537)"
"Orile, Agege","(6.6293891,3.3103554)"
"Surulere Street, Dopemu-Agege","(6.6095784,3.3082997)"
"Modupe-Shitta Street, Egbe","(6.5545427,3.2790856)"
"Alausa, Ikeja","(6.6211078,3.3609343)"
"Ijaiye Road, Ogba","(6.6266897,3.3360084)"
"Peninsula Resort, Ajah","(6.4726787,3.5809988)"
"Oba Amusa Avenue, Off Alake","(6.563937999999999,3.275074)"
"5 Silva Street, Mushin","(6.535233000000001,3.3489671)"
"78 Adeniyi Jones, Ikeja","(6.6158937,3.3461922)"
"55 Ojogbe Road, Ikorodu","(6.6194131,3.5104537)"
"Adebola Street, Surulere","(6.4949832,3.3599506)"
"Randle Road, Apapa","(6.4442183,3.369244)"
"11 Kodejoh Street, Ikeja","(6.595808099999999,3.3413732)"
"Olufemi Samson Street, Okomalam","(6.5139145,3.3275615)"
"86 Norman Williams, Ikoyi","(6.444404599999999,3.4169335)"
"Jimoh Ojora Road, Ajegunle","(6.4626678,3.3400165)"
"Alhaji Ribadu Road, Ikoyi","(6.4462346,3.4183372)"
"11 Ago Owu Street, Onipanu","(6.5305526,3.3627304)"
"Keffi Street, Ikoyi","(6.4458839,3.4151271)"
Ikeja HQ,"(6.601838,3.3514863)"
"35 Charles Road, Akowonjo","(6.5835598,3.2935778)"
"Egbeda Road, Dopemu-Agege","(6.612897999999999,3.3139943)"
"85 Ladipo Street, Mushin","(6.5380888,3.345632)"
"Demurin Street, Ketu","(6.5972827,3.3920438)"
"Daddy Savage Road, Fagba","(6.6566906,3.3254021)"
"26 Olaide Village, Ikorodu","(6.6194131,3.5104537)"
"23a Oduduwa Crescent, GRA Ikeja","(6.5748943,3.3552235)"
Ikoyi,"(6.453527999999999,3.4343314)"
"16 Akanbi Danmole Street, Ikoyi","(6.4442211,3.4193221)"
"Ibukun-Olu Street, Akoka","(6.5266395,3.3848417)"
"7 Sunmola Abayomi Street, Mafoluku-Oshodi","(6.5599056,3.3366871)"
"Sunday Saidi, Egbeda","(6.5945952,3.2870147)"
"1 Kemfat Road, Ajah","(6.470078399999999,3.5750252)"
"Babs Animashahun Road, Surulere","(6.4865061,3.3486604)"
"Allen Avenue, Ikeja","(6.6017292,3.3520211)"
Ebute Metta,"(6.4817446,3.3769472)"
102 Apapa Road,"(6.482186,3.372836)"
"Bode Thomas Street, Surulere","(6.4898189,3.356187)"
"Mobolaji Bank Anthony Way, Ikeja","(6.5851959,3.3578891)"
Old Ojo Road,"(6.4568519,3.2750301)"
Iba,"(6.5126605,3.1923049)"
"21 Road, Festac Town","(6.4701234,3.2926167)"
"4 Muri Abiola Street, Agbado","(6.694055,3.3053559)"
"22 Fafolu Street, Mushin","(6.533861099999999,3.3560775)"
"Lily Road, Ogba","(6.6282558,3.3353369)"
"5-7 Olori Street, Shogunle","(6.5747238,3.3430306)"
"12 Airport Road, Lagos","(6.588913,3.334372)"
"Railway Compound, Ebute Metta","(6.494567399999999,3.3676081)"
Obalende,"(6.4483221,3.410724)"
"Opebi Road, Ikeja","(6.5897006,3.361005)"
"Ladipo Oluwole Street, Apapa","(6.4466638,3.3528778)"
"Ologun Agbaje Street, Victoria Island","(6.4270539,3.4164938)"
"GKS Street, Okota","(6.4504155,3.339083)"
"Admiralty Road, Lekki","(6.4538665,3.470212)"
"87 Orile Road, Agege","(6.6313881,3.3131222)"
Apapa-Oshodi Express Way,"(6.5025544,3.3228477)"
"114 Riverside Crescent, Ikeja","(6.5738241,3.3616472)"
"15 Hospital Road, Ikeja","(6.552666899999999,3.3884619)"
"Akerele Street, Surulere","(6.5039737,3.3567124)"
Ajah-Badore Road,"(6.5037588,3.6014641)"
Ipaja Estate,"(6.613069899999999,3.2659066)"
"Agindingbi, Ikeja","(6.623137799999999,3.356525)"
"Eric Moore Close, Surulere","(6.4853525,3.3555597)"
"9 Muniratu Aleje Street, Ikorodu","(6.6311227,3.5198411)"
"65 Brickfield Road, Ebute Metta","(6.4808151,3.3743377)"
"8 Gabaro Close, Victoria Island","(6.4259264,3.4185969)"
Isolo,"(6.5355258,3.3266382)"
Ikorodu Road,"(6.5971823,3.3859445)"
"20 Shobande Street, Akoka","(6.5280938,3.3860481)"
"Muri Okunola Street, Victoria Island","(6.4321262,3.4366331)"
"Olutoye Crescent, Ikeja","(6.6193291,3.3450505)"
"11 Alhaji Sekoni Street, Iyana Ipaja","(6.612579299999999,3.3014945)"
"31 Oloje Street, Mushin","(6.5389954,3.3418319)"
"13 Oziegbe Street, Ilupeju","(6.542156299999999,3.3608851)"
"27 Nuru Oniwo Street, Surulere","(6.496783799999999,3.3468613)"
"Balogun Street, Ikeja","(6.5990726,3.3360797)"
Idi-Araba,"(6.5152684,3.3477076)"
"Marina, Lagos","(6.4505785,3.3900894)"
"Alfa-nla, Agege","(6.6207909,3.3201759)"
"105 Isolo Road, Egbe","(6.543798499999999,3.2793373)"
Igbobi,"(6.5279224,3.3745645)"
"15 Gbajobi Street, Ikeja","(6.6036709,3.3470616)"
"22 Musa Yaradua Street, Victoria Island","(6.431751999999999,3.4175825)"
"Parklande Specialist Hospital, Lagos Island, Lagos","(6.4963788,3.3612127)"
"Pipe Street Medical Centre, Pike Street, Lagos Island","(6.4518883,3.4053931)"
"Plato Hospital, Shogunle, Oshodi-Isolo","(6.5782824,3.3422758)"
"Premier Hospital, Ogalode Close, Victoria Island","(6.438023599999999,3.4572455)"
"132 Dopemu Road, Dopemu, Agege","(6.6151095,3.312788)"
"Awolowo Road, Ikeja","(6.442053,3.4151489)"
"Itire Road, Surulere","(6.5127129,3.3488367)"
"Festac Town, Amuwo-Odofin","(6.4702531,3.2818048)"
"Maduike Street, Ikoyi","(6.4406068,3.4194574)"
"155A Prince Ade-Odedina Street, Off Sinari Daranijo, Victoria Island, Lagos","(6.4274089,3.4373583)"
"1B Adedapo Williams Close, Off Emeka Nweze Street, Lekki Phase 1, Lagos","(6.4493179,3.4755793)"
"24 Crown Estate, Lekki Peninsula, Lagos","(6.4651634,3.6453878)"
"121 Idowu Martins Street, Victoria Island, Lagos","(6.435211499999999,3.4201887)"
"39 Issac John Street, GRA, Ikeja, Lagos","(6.583444,3.3571321)"
"1 Akindele Street, New Garage, Gbagada, Lagos","(6.5487924,3.392972)"
"Amje Road, Alakuko, Lagos","(6.6852621,3.2667899)"
"Joseph Street, Lagos Island, Lagos","(6.45171,3.3952994)"
"166 Akowonjo Road, Ikeja, Lagos","(6.602241999999999,3.3085843)"
"Atunrase Street, Off Ishaga Road, Surulere, Lagos","(6.5145748,3.3586799)"
"2 Medina Street, Lagos Island, Lagos","(6.466935,3.4230982)"
"72 Aina Street, Ojodu, Ikeja, Lagos","(6.6443026,3.3642001)"
"2 Kolu Street, Igando, Lagos","(6.535889,3.2483058)"
"Address Not Specified, Lagos","(6.576604,3.3412385)"
"10 Debo Bashorun Street, Off Ali Dada Street, Okota, Lagos","(6.5091964,3.3097638)"
"Kofo Abayomi Avenue, Apapa, Lagos","(6.4431295,3.370622)"
"Alagbado, Lagos","(6.656952,3.2554943)"
"5 Epe Street, Amukoko, Lagos","(6.4699569,3.3477666)"
"2 Salvation Road, Opebi-Ikeja, Lagos","(6.589314099999999,3.3617611)"
"4th Avenue, E Close, Festac Town, Lagos","(6.4777661,3.2760839)"
"Ilupeju, Lagos","(6.553648399999999,3.3566738)"
"Shomolu, Lagos","(6.539173,3.3841676)"
"19a Military Street, Onikan, Lagos","(6.4448374,3.4043124)"
"31 John Drive, Obafemi Awolowo Way, Ikeja","(6.6076393,3.3500225)"
"16b Maduike Street, Off Raymond Njoku, Ikoyi","(6.4402523,3.4183767)"
"Solad Bus-stop, Baruwa-Ipaja, Lagos","(6.6006507,3.2675254)"
"6 Akinsanya Street, Off Ogunnusi Road, Ojodu","(6.6420773,3.3632993)"
"5 Paul Street, New Oko Oba, Lagos","(6.6533602,3.3102271)"
"44 Apena Street, Surulere, Lagos","(6.5155829,3.3599304)"
"38 Airport Road, Lagos","(6.557268499999999,3.3324085)"
"Ayilara Street, Surulere, Lagos","(6.5113633,3.3616097)"
"312 Ijaiye Road, Ogba, Ikeja","(6.6266897,3.3360084)"
"Keffi Street, South-West Ikoyi, Lagos","(6.4458839,3.4151271)"
"Makinde Road, Surulere, Lagos","(6.5090292,3.3624319)"
"6 Rasheed Alaba William Street, Lekki Phase 1","(6.4458452,3.4625514)"
"Opebi, Ikeja, Lagos","(6.589373399999999,3.3613958)"
"Abibu Oki Street, Lagos Island","(6.4543732,3.3862544)"
"Prince Court, Victoria Island, Lagos","(6.448124300000001,3.4330216)"
"11 Taoridi Street, Surulere, Lagos","(6.489859699999999,3.3472346)"
"38 Montgomery Road, Yaba, Lagos","(6.509649,3.3756858)"
"Campbell Street, Lagos Island","(6.4500134,3.3958265)"
"Anuoluwapo Street, Bariga, Lagos","(6.5318694,3.3907453)"
"239 Adeola Santos Street, Ikeja","(6.4307526,3.4176328)"
"78 Olakolu Street, Ayobo, Lagos","(6.598564499999999,3.2688298)"
"Iju Ishaga Road, Lagos","(6.6409144,3.3235571)"
"Idumota, Lagos Island","(6.4571606,3.3841554)"
"234 Akowonjo Road, Lagos","(6.602359799999999,3.3089883)"
"Surulere, Lagos","(6.4926317,3.3489671)"
"Akeem Akonju Street, Ikeja, Lagos","(6.5762217,3.3858813)"
"Gowon Estate, Ipaja, Lagos","(6.613069899999999,3.2659066)"
"Tokunbo Street, Lagos Island","(6.4529685,3.3964266)"
"Creek Road, Apapa, Lagos","(6.436849,3.3707069)"
"10 Hospital Road, Isolo, Lagos","(6.5515767,3.3890913)"
"Apena Street, Surulere, Lagos","(6.5148542,3.3612654)"
"26 Bamishile Street, Off Allen Avenue, Ikeja","(6.5981068,3.3550521)"
"Mushin Road, Isolo, Lagos","(6.5284624,3.3264795)"
"Old Abeokuta Road, Apapa, Lagos","(6.6283932,3.3222333)"
"37 Akobi Crescent, Surulere, Lagos","(6.5164592,3.3609183)"
"12 Adeniji Street, Surulere, Lagos","(6.5133872,3.3563695)"
"Ikorodu, Lagos","(6.622841699999999,3.5704942)"
"Ikeja, Lagos","(6.601838,3.3514863)"
"1 Chief Obidegwu Street, Iba, Lagos","(6.4977909,3.1956408)"
"8 Abraham Road, Ikeja, Lagos","(6.441154399999999,3.3689462)"
"32 Unity Road, Ikeja, Lagos","(6.596757299999999,3.345844)"
"Badagry, Lagos","(6.6137914,3.3473592)"
"Lagos Mainland, Lagos","(6.5059002,3.3780722)"
"Lagos Central, Lagos","(6.4574307,3.3881775)"
"Onike Road, Yaba, Lagos","(6.506219,3.3795322)"
"Akowonjo, Lagos","(6.5835598,3.2935778)"
"Adebisi Awosoga Street, Dopemu-Agege","(6.5922054,3.3042578)"
"Obafemi Awolowo Way, Ikeja","(6.6076393,3.3500225)"
"Agard Street, Yaba, Lagos","(6.5055309,3.3749103)"
"Kakawa Street, Lagos Island","(6.4525818,3.3901296)"
"1 Adeyefa Street, Iyana Ipaja, Lagos","(6.6230254,3.2974411)"
"43 Adeleke Street, Off Allen Avenue, Ikeja","(6.6030149,3.3504838)"
"Isolo, Lagos","(6.5355258,3.3266382)"
"Ikeja Road, Ikeja, Lagos","(6.4594886,3.4179723)"
"Oniru, Victoria Island, Lagos","(6.4467879,3.4340729)"
Surulere,"(6.498292999999999,3.348572)"
surulere,
epe,"(6.586663199999999,3.9699874)"
ikorodu,"(6.6194131,3.5104537)"
ijede,"(6.5708251,3.596457)"
lekki,"(6.4698419,3.5851718)"
"T.O.S. Benson Road, Ikorodu, Lagos, Nigeria",
"191 Lagos Road, Before Agric Bus Stop, Ikorodu, Lagos, Nigeria",
"59 Lagos Road, Newgate Bus Stop, Ikorodu, Lagos, Nigeria",
"1 Onafowokan Street, Opposite Mejabot Filling Station, Owutu, Agric, Ikorodu, Lagos, Nigeria",
"1 Shamsideen Jaiyesimi Street, Aga, Ikorodu, Lagos, Nigeria",
"56 Itokin Road, Otun Bus Stop, Lucky Fibre, Itamope, Ikorodu, Lagos, Nigeria",
"Plot 12 Biovic Boulevard, Jajo Estate, Off Mowo-Nla Road, Ikorodu, Lagos, Nigeria",
"6 Ola Balogun Street, Behind LG Primary School, Igbe-Laara, Ikorodu, Lagos, Nigeria",
"JGJC+6G, Ikorodu-Epe Rd, Akasolori, Ikorodu 104101, Lagos, Nigeria",
"2/4 Bamimosu Street, Ebutte, Ipakodo, Ikorodu, Lagos, Nigeria",
"50 Eluku Street, Ikorodu, Lagos, Nigeria",
"5 Anibaba Street, Off Ireshe Road, Ikorodu, Lagos, Nigeria",
"Simco Ummekwu Street, Off Isawo Road, Agric, Ikorodu, Lagos, Nigeria",
"5 Segun Ishola Street, Owutu, Ikorodu, Lagos, Nigeria",
"3-5 Adeyeri Owuyo Street, Behind Zenith Bank, Ikorodu, Lagos, Nigeria",
"5 Eunice Iyayi Street, Odogunyan, Ikorodu, Lagos, Nigeria",
"Kilometers 3 Ikorodu-Shagamu Express Way, Ita-Oluwo, Ikorodu, Lagos, Nigeria",
"Degolu Road, Igbogbo, 234001, Ikorodu, Nigeria",
"2nd Avenue, Poboyejo Estate, Ikorodu, Lagos, Nigeria",
"3 Fatima Bintu Street, Sholebo Estate, Off Ebute-Igbobo Road, Ikorodu, Lagos, Nigeria",
"3 Omo Oba Shibajo Way, Agbede Transformer, Ita Oluwo Road, Ikorodu, Lagos, Nigeria",
"120 Lagos Road, Haruna, Ikorodu, Lagos, Nigeria",
"77 Odonla Road, Odogunyan, Ikorodu, Lagos, Nigeria",
"180 Awolowo Way, Itamaga, Ikorodu, Lagos, Nigeria",
ikeja,"(6.5960605,3.340787)"
apapa,"(6.445187,3.3683732)"
ketu,"(6.636154,3.8769831)"
ojota,"(6.5802714,3.3729679)"
"Baba Meta Street, Mojoda, Ikorodu, Lagos, Nigeria",None
"9 Muniratu Alojo Street, Off Lagos Road, Ikorodu, Lagos, Nigeria",None
